1: edcaf9aaa282	Typ
12: ee8b5ff1856c	⟦0⟧ wird von der Anwendung aufgerufen, um den DM zu veranlassen, auf der übergebenen ⟦1⟧ Vehicle-Announcement-Nachrichten zu senden ⟦2⟧; als rein virtuelle Methode ist sie von der Anwendung zu implementieren.
13: eeaa92d6f6b0	Bewertungsgrenzen
14: eeb1336d4dbf	⟦0⟧ kennzeichnet die standardisierten Fehler, die eine ara::com-Operation in ihrem ⟦1⟧ oder ⟦2⟧ zurückgeben kann. Beispiele aus den Schnittstellenregeln sind ein unterschrittenes Minimum Send Interval oder ein nicht initialisiertes Field beim Anbieten. ⟦3⟧ und ⟦4⟧ veranschaulichen zwei Ursachen.
15: eeb353a99654	Vertrag der Session
16: eecba33e3c70	Konstanten / Variablen
17: eed5d1215669	Das Verhalten dieses Elements ist in der Spezifikation nicht eigenständig ausformuliert, sondern über den Verweis auf den ISO-C++-Standardabschnitt ⟦0⟧ definiert; maßgebliches Gegenstück ist ⟦1⟧ (⟦2⟧). Abweichungen gegenüber der std-Semantik laut Spezifikation: „Function is nullptr“; Fehler werden stillschweigend ignoriert – der Aufrufer erhält keine Rückmeldung.
18: eeec223d4fff	Keine Kopie des Signalbesitzes
19: eefa383940e5	Übergeben Sie einen konfigurierten Function-Group-Zielzustand und warten Sie das zurückgegebene ⟦0⟧ aus. EM terminiert nicht mehr benötigte Prozesse und startet die Zielmenge ⟦1⟧.
20: eefb9ac63b18	Die freie Funktion ⟦0⟧ ⟦1⟧ liefert den aktuell belegten Speicherplatz in Byte eines File Storage, identifiziert über den als ⟦2⟧ übergebenen Parameter ⟦3⟧. Die Größe umfasst Metadaten sowie den für Redundanz und Backups genutzten Speicher; sie ist nur zuverlässig, wenn der File Storage währenddessen nicht geöffnet ist und keine andere Operation gleichzeitig darauf zugreift. Die Funktion ist threadsicher und exception-safe und liefert ein ⟦4⟧.
21: eefd73238133	⟦0⟧ und die Storage-weite Wiederherstellung dienen bei Redundanzproblemen, können aber ältere oder Initialdaten liefern. Quota- und Speicherplatzfehler sind Ergebnisfehler und müssen beim Commit behandelt werden. ⟦1⟧ ⟦2⟧
22: ef0ec3c702e9	Die ⟦0⟧ Methode ⟦1⟧ registriert einen ⟦2⟧, der bei Eintreffen eines Triggers aufgerufen wird; der parameterlose Handler nutzt ⟦3⟧, um auf den Trigger-Zähler zuzugreifen ⟦4⟧. Die Methode ist exception-sicher.
23: ef2fd9691f8e	⟦0⟧ ist eine gezielte Best-Effort-Maßnahme bei einem einzelnen betroffenen Schlüssel. Existiert das Paar in keiner Instanz, endet der Vorgang mit ⟦1⟧. ⟦2⟧
24: ef300c65bfa1	State Management entscheidet, Execution Management vollzieht
25: ef478ef7d488	UTF-8-Sicht und Lebensdauergrenze
26: ef644698aab9	Die freie, ⟦0⟧ und ⟦1⟧ Funktion ⟦2⟧ liefert eine Referenz auf das Singleton-Objekt ⟦3⟧ und wird verwendet, um die allgemeine Communication-Management-Fehlerdomäne für ⟦4⟧-Objekte zu identifizieren ⟦5⟧. Die Funktion ist exception-sicher.
27: efb062c61d78	Verlässliche Verwendung
28: efbfe323ad71	Vor der ersten Zustandsmeldung
29: f01e675ca205	Elementarer Zustand: kNoCom, wenn nicht alle zugeordneten Netze FULL_COM sind; kFullCom, wenn alle es sind.
30: f047d1dc0794	Ein Standardkonstruktor sowie Kopier- und Move-Konstruktoren sind vorhanden. Die Destruktion ist bedingt ⟦0⟧. Die In-place-Überladungen erlauben sowohl Argumentlisten als auch ⟦1⟧; die jeweils ausgewiesene Exception Safety ist bedingt. ⟦2⟧ ⟦3⟧ ⟦4⟧ ⟦5⟧ ⟦6⟧ ⟦7⟧ ⟦8⟧ ⟦9⟧
31: f05e5acb667d	Das wiederholte Setzen von Wert, Fehler oder Ergebnis und ein Setter-Aufruf ohne Shared State sind als Violation spezifiziert. ⟦0⟧ ⟦1⟧
32: f08b9270f2c3	Wann aufrufen
33: f0b05913ac4b	Bei E2E-geschützten Events kann die Anwendung pro ⟦0⟧ mit ⟦1⟧ das Ergebnis der E2E-Prüfung einsehen, beispielsweise ⟦2⟧, ⟦3⟧, ⟦4⟧ oder ⟦5⟧. Der ⟦6⟧ verdichtet die Prüfhistorie zur aktuellen E2E-Überwachung; nur bei ⟦7⟧ und einem nicht fehlerhaften Profilstatus darf das zuletzt geprüfte Sample verwendet werden. Schlägt die E2E-Prüfung einer Methodenantwort fehl, setzt die Implementierung einen Fehler aus ⟦8⟧ in das zugehörige Promise und damit in das Future-Ergebnis. ⟦9⟧ ⟦10⟧ ⟦11⟧ ⟦12⟧ ⟦13⟧
34: f0b4d633d9ac	Die RecoveryAction-Instanz repräsentiert ein angebotenen Recovery-Endpunkt und ist nicht als kopierbares Wertobjekt gedacht.
35: f0bd68ae6c2a	Wird die Vorbedingung aus ⟦0⟧ verletzt (noch ausstehende Samples), wirft die Implementierung eine <b>DanglingSamplesViolation</b>, wenn die Vorbedingung aus ⟦1⟧ verletzt wurde.
36: f0cf2afae398	Semantik von Name
37: f0d1f1c49970	Fehler weitergeben
38: f11388703824	Erst danach Rx-/Tx-Operationen ausführen.
39: f14097306a38	Ist der Dienst bereits angeboten, liefert sie den Fehler ⟦0⟧.
40: f152d8a3c8fd	Ein anwendungsspezifischer UDS-Service meldet eine fachlich negative Dienstbehandlung über den Fehlerkanal seines ⟦0⟧ mit einem ⟦1⟧ aus ⟦2⟧ beziehungsweise ⟦3⟧. Der Diagnostic Server leitet daraus den einbyteigen NRC ab und sendet eine negative UDS-Antwort; für ⟦4⟧ ist ausdrücklich ein anwendbarer NRC vorgesehen. Die vom DM akzeptierten Rückgabewerte liegen im Bereich ⟦5⟧ bis ⟦6⟧. ⟦7⟧ ⟦8⟧ ⟦9⟧ ⟦10⟧
