41: f17794901c5c	Die folgenden bereits verknüpften Spezifikations- und API-Stellen bleiben als Detailbelege für die genannten Operationen erhalten: ⟦0⟧ ⟦1⟧ ⟦2⟧ ⟦3⟧ ⟦4⟧ ⟦5⟧ ⟦6⟧ ⟦7⟧ ⟦8⟧ ⟦9⟧ ⟦10⟧ ⟦11⟧ ⟦12⟧ ⟦13⟧ ⟦14⟧ ⟦15⟧ ⟦16⟧ ⟦17⟧ ⟦18⟧ ⟦19⟧ ⟦20⟧ ⟦21⟧ ⟦22⟧ ⟦23⟧ ⟦24⟧ ⟦25⟧ ⟦26⟧ ⟦27⟧ ⟦28⟧ ⟦29⟧ ⟦30⟧ ⟦31⟧.
52: f2275550550c	Registriert eine Notifier-Funktion, die aufgerufen wird, wenn sich der Status des über ⟦0⟧ identifizierten Diagnose-Events ändert. Ein erneuter Aufruf überschreibt den zuvor registrierten Notifier. ⟦1⟧
53: f23b16ce7c8c	Erzeugung &amp; Lebenszyklus
54: f251e044a286	Sequenzdiagramm: Die kRunning-Meldung verbindet die Prozesssicht mit der Lifecycle-Verfolgung von EM und dem Start der Alive-Supervision durch PHM ⟦0⟧ ⟦1⟧.
55: f267421fa7a4	Die Darstellung ordnet die dokumentierten Factory-, Slot- und Kontextschnittstellen zusammen. Quelle: ⟦0⟧ und ⟦1⟧. <em>Teilweise Interpretation: Die konkreten Aufrufpfade hängen von der Anwendung ab.</em>
56: f27304775b04	Das zugrunde liegende Requirements-Dokument fordert sichere und effiziente Parallelberechnungen, Fehlererkennung/-behandlung sowie die Überwachung von Beschleunigerzuständen ⟦0⟧. Es verlangt außerdem Device-Monitoring, zeitlich kontrollierbare Blockierung und prozesslokale SHWA-Objekte ⟦1⟧ ⟦2⟧ ⟦3⟧.
57: f2a4b6b663da	Zykluswechsel abonnieren
58: f2b282bed46c	Die Methode ist laut Vertrag not thread-safe und exception safe; das Parameter-Record bleibt laut Beschreibung nur gültig, bis das Promise erfüllt oder die Verarbeitung über den Cancellation-Handler abgebrochen wird.
59: f2e184e02c85	⟦0⟧ implementiert den sequenziellen ⟦1⟧-Container mit parametrisierter Speicherressource ⟦2⟧ ⟦3⟧. Er stellt Größen- und Kapazitätsverwaltung, zufälligen Elementzugriff, Iteratoren und Container-Modifikatoren bereit ⟦4⟧ ⟦5⟧ ⟦6⟧ ⟦7⟧ ⟦8⟧.
60: f2f1a04f0b3c	Vom Request zum Zielzustand
61: f30c6d4edf62	Update-Sitzung als Zustandskoordination
62: f31dde37ff13	⟦0⟧ liefert die ⟦1⟧, die der Implementierung bei der Konstruktion (Ctor-Aufruf) übergeben wurde ⟦2⟧.
63: f39c947ccfac	Rollback, Beobachtung und Fahrzeugkontext
64: f39cc06dcb1c	Die Methode ist exception-safe deklariert und spezifiziert selbst keine standardisierten Fehler ⟦0⟧. Sie muss von der Skeleton-Implementierung überschrieben werden, da sie rein virtuell deklariert ist ⟦1⟧.
65: f3cdfcf46be0	Nutzungsgrenze
66: f3fc1934c414	Die Struktur ⟦0⟧ kapselt die Out-Argumente eines Lesevorgangs für ein diagnostisches Datenelement. Sie ist der Erfolgstyp, den die rein virtuelle Methode ⟦1⟧ asynchron in einem ⟦2⟧ bereitstellt. Die Spezifikation definiert für diesen Datenhalter keine weiteren Methoden oder eigene Lebenszyklusregeln. ⟦3⟧ ⟦4⟧
67: f413b8dabf3a	Schlüssel- und Zugriffskonzept
68: f47c05d6d286	Fehlerkontext weitergeben
69: f4a14cf6fb70	Die Allokation ist ⟦0⟧ und liefert bei Fehlschlag ⟦1⟧ statt ⟦2⟧ zu werfen ⟦3⟧ ⟦4⟧. Freigabefehler werden stillschweigend ignoriert ⟦5⟧ ⟦6⟧. Allokation, Freigabe und Destruktion sind nicht thread-sicher, die Gleichheitsprüfung ist thread-sicher ⟦7⟧ ⟦8⟧ ⟦9⟧ ⟦10⟧.
70: f4a5805b5fac	Semantik von ~Logger
71: f4b3f30f03c4	⟦0⟧ koordiniert die Wiederaufnahme der Satelliten. Der Aufrufer behandelt Teilfehler gemäß dem zurückgegebenen Ergebnis. ⟦1⟧.
72: f4b56488c698	Fehler trennen
73: f4cbf0c4137d	SOVD-Kontext
74: f4cee4741484	Der ⟦0⟧ Funktionsaufrufoperator ⟦1⟧ initiiert einen Methodenaufruf (⟦2⟧) und kehrt sofort zurück ⟦3⟧. Über das zurückgegebene ⟦4⟧ kann der Aufrufer wahlweise synchron oder asynchron auf den Abschluss des Aufrufs inklusive möglicher Fehler warten. Die Methode ist exception-sicher.
75: f526dbb4ef28	Der Move-Konstruktor der ⟦0⟧-Spezialisierung ⟦1⟧ übernimmt den geteilten Zustand einer anderen Instanz ⟦2⟧ per Verschiebung. Laut Beschreibung verhält sich die Funktion wie die entsprechende Funktion von ⟦3⟧ ⟦4⟧.
76: f52b3b5f88cf	<strong>API- und Quellennachweise:</strong> ⟦0⟧ ⟦1⟧ ⟦2⟧ ⟦3⟧ ⟦4⟧ ⟦5⟧ ⟦6⟧ ⟦7⟧ ⟦8⟧ ⟦9⟧ ⟦10⟧ ⟦11⟧ ⟦12⟧ ⟦13⟧ ⟦14⟧ ⟦15⟧ ⟦16⟧ ⟦17⟧ ⟦18⟧ ⟦19⟧ ⟦20⟧ ⟦21⟧ ⟦22⟧ ⟦23⟧ ⟦24⟧ ⟦25⟧
77: f54ddca970d4	⟦0⟧ Überführt die übergebene Darstellung oder modellierte Ressource in ein API-Objekt. Format, Zugriffsrecht, Belegung und Kompatibilität werden vor der Verwendung des Ergebnisses geprüft. ⟦1⟧
78: f55f843f9e22	Empfohlene Client-Reihenfolge
79: f56dee3cb491	Ein Default-Konstruktor steht Anwendungen nicht zur Verfügung; nur der DM-Kern erzeugt den Handler. Kopieren und Kopierzuweisung sind gelöscht, Move-Konstruktion und Move-Zuweisung sind dagegen standardmäßig verfügbar. ⟦0⟧ ⟦1⟧ ⟦2⟧ ⟦3⟧ ⟦4⟧
80: f57619a44368	Werden periodische Übertragungen auf diesem Transport-Protokoll unterstützt, liefert der Aufruf eine Referenz auf den ⟦0⟧ im ⟦1⟧; andernfalls den Fehler ⟦2⟧. Der Aufruf ist nicht thread-safe, jedoch exception safe.
